Vehicle_ID,Frame_ID,Total_Frames,Global_Time,Local_X,Local_Y,Global_X,Global_Y,v_length,v_Width,v_Class,v_Vel,v_Acc,Lane_ID,O_Zone,D_Zone,Int_ID,Section_ID,Direction,Movement,Preceding,Following,Space_Headway,Time_Headway,Location
518,1815,581,1113433316400,64.616,481.818,6042836.188,2133553.745,16.3,7.9,2,28.27,0.27,6,,,,,,,516,536,48.61,1.72,i-80
516,1815,514,1113433316400,71.203,530.43,6042836.776,2133602.806,13.8,6.3,2,19.9,-1.62,6,,,,,,,505,518,38.1,1.91,i-80
458,1815,569,1113433316400,68.491,839.806,6042794.739,2133910.175,16.8,7.4,2,25.54,6.32,6,,,,,,,455,465,42.74,1.67,i-80
505,1815,590,1113433316400,65.705,568.529,6042826.551,2133640.115,12.3,6.8,2,19.51,-0.14,6,,,,,,,491,516,39.26,2.01,i-80
480,1815,578,1113433316400,67.141,701.239,6042811.46,2133771.986,11.9,5.8,2,21.68,0.0,6,,,,,,,474,484,35.25,1.63,i-80
474,1815,574,1113433316400,64.799,736.49,6042804.67,2133806.952,12.4,5.3,2,21.35,-1.03,6,,,,,,,465,480,31.23,1.46,i-80
455,1815,603,1113433316400,63.902,882.547,6042784.238,2133952.164,14.3,6.9,2,24.93,-9.33,6,,,,,,,439,458,57.56,2.31,i-80
435,1815,674,1113433316400,60.449,973.841,6042767.317,2134042.501,13.4,5.3,2,27.5,11.2,6,,,,,,,420,439,30.66,1.12,i-80
420,1815,769,1113433316400,63.236,1004.504,6042765.547,2134073.266,15.8,6.4,2,25.0,0.0,6,,,,,,,409,435,164.98,6.6,i-80
465,1815,450,1113433316400,71.174,767.72,6042806.944,2133838.748,15.3,6.9,2,22.95,-0.3,6,,,,,,,458,474,72.09,3.14,i-80
484,1815,565,1113433316400,67.91,642.832,6042819.514,2133714.028,13.3,7.3,2,20.0,0.0,6,,,,,,,480,491,58.41,2.92,i-80
439,1815,669,1113433316400,66.433,940.105,6042778.209,2134010.042,15.8,7.4,2,30.01,-0.25,6,,,,,,,435,455,33.74,1.12,i-80
491,1815,557,1113433316400,69.086,607.788,6042825.012,2133679.466,11.4,5.8,2,19.62,1.72,6,,,,,,,484,505,35.04,1.79,i-80
455,1825,603,1113433317400,61.44,907.346,6042778.102,2133976.907,14.3,6.9,2,24.48,0.23,6,,,,,,,439,458,62.63,2.56,i-80
505,1825,590,1113433317400,65.746,589.24,6042824.007,2133660.658,12.3,6.8,2,23.54,0.6,6,,,,,,,491,516,39.34,1.67,i-80
465,1825,450,1113433317400,70.434,791.896,6042803.038,2133862.844,15.3,6.9,2,24.07,3.79,6,,,,,,,458,474,75.81,3.15,i-80
491,1825,557,1113433317400,68.897,628.577,6042822.256,2133700.0,11.4,5.8,2,20.89,-1.71,6,,,,,,,484,505,34.22,1.64,i-80
439,1825,669,1113433317400,65.675,969.98,6042773.051,2134039.485,15.8,7.4,2,29.97,0.72,6,,,,,,,420,455,59.21,1.98,i-80
516,1825,514,1113433317400,71.236,550.233,6042834.325,2133622.655,13.8,6.3,2,20.0,0.0,6,,,,,,,505,518,39.01,1.95,i-80
518,1825,581,1113433317400,66.964,508.257,6042835.279,2133580.306,16.3,7.9,2,25.13,-8.1,6,,,,,,,516,536,41.98,1.67,i-80
420,1825,769,1113433317400,63.31,1029.186,6042761.885,2134097.997,15.8,6.4,2,25.0,0.0,6,,,,,,,409,439,177.1,7.08,i-80
484,1825,565,1113433317400,67.923,662.799,6042817.054,2133733.88,13.3,7.3,2,19.67,-1.1,6,,,,,,,480,491,60.1,3.06,i-80
480,1825,578,1113433317400,66.236,722.901,6042807.858,2133793.311,11.9,5.8,2,23.51,7.31,6,,,,,,,474,484,35.15,1.5,i-80
474,1825,574,1113433317400,64.56,758.053,6042801.639,2133828.298,12.4,5.3,2,24.68,4.15,6,,,,,,,465,480,33.84,1.37,i-80
458,1825,569,1113433317400,68.616,867.704,6042790.964,2133938.117,16.8,7.4,2,27.79,-5.34,6,,,,,,,455,465,39.64,1.43,i-80
505,1835,590,1113433318400,65.934,612.01,6042821.36,2133683.254,12.3,6.8,2,21.03,0.0,6,,,,,,,491,516,36.35,1.73,i-80
480,1835,578,1113433318400,65.909,742.538,6042804.983,2133813.124,11.9,5.8,2,24.8,3.67,6,,,,,,,474,484,40.56,1.64,i-80
420,1835,769,1113433318400,63.47,1054.203,6042758.232,2134122.723,15.8,6.4,2,26.35,11.04,6,,,,,,,409,439,190.75,7.24,i-80
439,1835,669,1113433318400,65.732,999.989,6042768.681,2134069.169,15.8,7.4,2,30.0,0.0,6,,,,,,,420,458,54.21,1.81,i-80
516,1835,514,1113433318400,71.284,569.895,6042831.917,2133642.158,13.8,6.3,2,18.74,2.85,6,,,,,,,505,518,42.12,2.25,i-80
465,1835,450,1113433318400,70.262,816.997,6042799.536,2133887.699,15.3,6.9,2,25.5,0.03,6,,,,,,,458,474,77.55,3.04,i-80
491,1835,557,1113433318400,68.809,648.36,6042819.722,2133719.626,11.4,5.8,2,19.54,0.57,6,,,,,,,484,505,35.34,1.81,i-80
474,1835,574,1113433318400,64.646,783.096,6042798.48,2133853.139,12.4,5.3,2,24.46,-5.97,6,,,,,,,465,480,33.9,1.39,i-80
484,1835,565,1113433318400,68.472,683.702,6042814.974,2133754.761,13.3,7.3,2,21.5,0.54,6,,,,,,,480,491,58.84,2.74,i-80
458,1835,569,1113433318400,68.397,894.548,6042786.863,2133965.327,16.8,7.4,2,29.63,6.66,6,,,,,,,439,465,105.44,3.56,i-80
518,1835,581,1113433318400,67.14,531.141,6042832.656,2133603.017,16.3,7.9,2,21.78,-8.82,6,,,,,,,516,536,38.75,1.78,i-80
465,1845,450,1113433319400,68.199,842.519,6042794.058,2133912.998,15.3,6.9,2,24.9,2.94,6,,,,,,,458,474,82.08,3.3,i-80
516,1845,514,1113433319400,71.329,589.247,6042829.545,2133661.361,13.8,6.3,2,20.04,1.3,6,,,,,,,505,518,43.37,2.16,i-80
439,1845,669,1113433319400,65.813,1029.659,6042764.286,2134098.846,15.8,7.4,2,30.0,0.0,6,,,,,,,420,458,54.1,1.8,i-80
518,1845,581,1113433319400,67.165,548.945,6042830.445,2133620.881,16.3,7.9,2,17.03,2.07,6,,,,,,,516,536,40.3,2.37,i-80
420,1845,769,1113433319400,65.954,1083.76,6042756.176,2134152.336,15.8,6.4,2,30.09,0.07,6,,,,,,,409,439,204.2,6.79,i-80
491,1845,557,1113433319400,69.647,668.116,6042818.09,2133739.444,11.4,5.8,2,20.53,8.2,6,,,,,,,484,505,38.65,1.88,i-80
484,1845,565,1113433319400,67.695,706.764,6042811.318,2133777.534,13.3,7.3,2,23.7,0.73,6,,,,,,,480,491,60.85,2.57,i-80
458,1845,569,1113433319400,68.428,924.601,6042782.469,2133995.003,16.8,7.4,2,30.0,0.0,6,,,,,,,439,465,105.06,3.5,i-80
474,1845,574,1113433319400,64.481,806.09,6042795.253,2133876.127,12.4,5.3,2,23.19,2.86,6,,,,,,,465,480,36.43,1.57,i-80
505,1845,590,1113433319400,66.153,632.621,6042819.033,2133703.673,12.3,6.8,2,19.5,-0.3,6,,,,,,,491,516,35.5,1.82,i-80
480,1845,578,1113433319400,65.759,767.615,6042801.588,2133837.941,11.9,5.8,2,25.52,-0.13,6,,,,,,,474,484,38.48,1.51,i-80
465,1855,450,1113433320400,65.899,870.35,6042787.909,2133940.346,15.3,6.9,2,29.24,-0.85,6,,,,,,,458,474,84.95,2.91,i-80
458,1855,569,1113433320400,68.476,955.297,6042777.994,2134025.329,16.8,7.4,2,32.14,7.61,6,,,,,,,439,465,104.63,3.26,i-80
518,1855,581,1113433320400,67.027,567.624,6042827.976,2133639.381,16.3,7.9,2,18.34,-9.07,6,,,,,,,516,536,41.14,2.24,i-80
491,1855,557,1113433320400,69.283,692.806,6042814.64,2133763.886,11.4,5.8,2,25.81,-0.15,6,,,,,,,484,495,37.66,1.46,i-80
480,1855,578,1113433320400,65.92,793.707,6042798.324,2133864.038,11.9,5.8,2,27.15,3.19,6,,,,,,,474,484,37.39,1.38,i-80
420,1855,769,1113433320400,66.923,1113.785,6042752.553,2134182.169,15.8,6.4,2,29.1,-7.29,6,,,,,,,409,439,215.57,7.41,i-80
474,1855,574,1113433320400,65.324,831.1,6042792.769,2133901.024,12.4,5.3,2,25.6,1.48,6,,,,,,,465,480,39.25,1.53,i-80
484,1855,565,1113433320400,66.433,730.464,6042807.088,2133800.993,13.3,7.3,2,23.01,-1.64,6,,,,,,,480,491,63.24,2.75,i-80
516,1855,514,1113433320400,71.367,608.765,6042827.155,2133680.714,13.8,6.3,2,20.02,-0.24,6,,,,,,,505,518,43.35,2.17,i-80
505,1855,590,1113433320400,65.967,652.117,6042816.438,2133723.001,12.3,6.8,2,19.5,0.0,6,,,,,,,495,516,20.59,1.06,i-80
439,1855,669,1113433320400,66.356,1059.929,6042760.208,2134128.837,15.8,7.4,2,32.15,6.73,6,,,,,,,420,458,53.86,1.68,i-80
458,1865,569,1113433321400,67.733,989.487,6042772.21,2134059.077,16.8,7.4,2,35.0,0.0,6,,,,,,,439,465,103.23,2.95,i-80
420,1865,769,1113433321400,66.861,1141.68,6042748.117,2134209.999,15.8,6.4,2,27.54,-9.06,6,,,,,,,409,439,224.25,8.14,i-80
491,1865,557,1113433321400,68.529,718.556,6042810.669,2133789.344,11.4,5.8,2,25.9,1.34,6,,,,,,,484,495,37.74,1.46,i-80
516,1865,514,1113433321400,71.395,628.829,6042824.703,2133700.563,13.8,6.3,2,20.0,0.0,6,,,,,,,505,518,43.72,2.19,i-80
518,1865,581,1113433321400,67.071,585.75,6042825.755,2133657.366,16.3,7.9,2,20.11,0.0,6,,,,,,,516,536,43.08,2.14,i-80
465,1865,450,1113433321400,65.635,899.111,6042783.466,2133969.38,15.3,6.9,2,30.0,0.0,6,,,,,,,458,474,90.38,3.01,i-80
480,1865,578,1113433321400,65.85,820.007,6042794.763,2133890.096,11.9,5.8,2,24.47,0.3,6,,,,,,,474,484,37.18,1.52,i-80
484,1865,565,1113433321400,66.039,756.3,6042803.331,2133826.766,13.3,7.3,2,27.0,0.56,6,,,,,,,480,491,63.71,2.36,i-80
505,1865,590,1113433321400,66.647,672.551,6042814.558,2133743.475,12.3,6.8,2,22.99,0.77,6,,,,,,,495,516,24.85,1.08,i-80
474,1865,574,1113433321400,65.134,857.187,6042788.973,2133927.22,12.4,5.3,2,26.57,0.47,6,,,,,,,465,480,41.92,1.58,i-80
439,1865,669,1113433321400,69.388,1092.714,6042758.202,2134161.725,15.8,7.4,2,31.42,-8.53,6,,,,,,,420,458,48.97,1.56,i-80
439,1875,669,1113433322400,69.378,1122.699,6042753.608,2134191.432,15.8,7.4,2,29.19,-2.35,6,,,,,,,420,458,45.76,1.57,i-80
505,1875,590,1113433322400,66.781,696.17,6042811.736,2133766.92,12.3,6.8,2,24.99,0.04,6,,,,,,,495,509,25.7,1.03,i-80
491,1875,557,1113433322400,67.9,745.013,6042806.64,2133815.811,11.4,5.8,2,27.04,0.77,6,,,,,,,484,495,40.05,1.48,i-80
516,1875,514,1113433322400,71.416,648.829,6042822.252,2133720.412,13.8,6.3,2,20.0,0.0,6,,,,,,,509,518,21.73,1.09,i-80
458,1875,569,1113433322400,67.791,1024.145,6042767.082,2134093.699,16.8,7.4,2,34.39,5.54,6,,,,,,,439,465,98.55,2.87,i-80
518,1875,581,1113433322400,67.11,605.61,6042823.322,2133677.065,16.3,7.9,2,18.75,-2.87,6,,,,,,,516,536,43.22,2.31,i-80
480,1875,578,1113433322400,65.882,845.824,6042791.291,2133916.052,11.9,5.8,2,26.84,4.24,6,,,,,,,474,484,38.12,1.42,i-80
420,1875,769,1113433322400,66.845,1168.459,6042743.896,2134236.485,15.8,6.4,2,29.09,-4.34,6,,,,,,,409,439,234.63,8.07,i-80
474,1875,574,1113433322400,64.748,883.939,6042784.883,2133953.66,12.4,5.3,2,25.72,-9.55,6,,,,,,,465,480,45.17,1.76,i-80
465,1875,450,1113433322400,65.666,929.111,6042779.072,2133999.056,15.3,6.9,2,30.0,0.0,6,,,,,,,458,474,95.03,3.17,i-80
484,1875,565,1113433322400,64.929,785.063,6042798.505,2133855.128,13.3,7.3,2,29.13,-3.66,6,,,,,,,480,491,60.76,2.09,i-80
474,1885,574,1113433323400,64.371,910.566,6042780.526,2133980.523,12.4,5.3,2,27.52,0.2,6,,,,,,,465,480,48.44,1.76,i-80
465,1885,450,1113433323400,65.132,959.008,6042774.134,2134028.543,15.3,6.9,2,29.74,1.43,6,,,,,,,458,474,100.39,3.38,i-80
439,1885,669,1113433323400,69.354,1152.49,6042748.885,2134221.059,15.8,7.4,2,30.0,0.0,6,,,,,,,420,458,44.87,1.5,i-80
518,1885,581,1113433323400,67.14,625.317,6042820.914,2133696.559,16.3,7.9,2,20.0,0.91,6,,,,,,,516,536,44.24,2.21,i-80
516,1885,514,1113433323400,71.448,669.556,6042819.696,2133741.104,13.8,6.3,2,21.93,-2.98,6,,,,,,,509,518,29.6,1.35,i-80
458,1885,569,1113433323400,68.404,1059.396,6042762.314,2134128.624,16.8,7.4,2,37.01,6.31,6,,,,,,,439,465,93.09,2.52,i-80
420,1885,769,1113433323400,66.938,1197.357,6042739.276,2134265.468,15.8,6.4,2,28.76,-2.6,6,,,,,,,409,439,243.62,8.47,i-80
505,1885,590,1113433323400,64.706,721.16,6042806.551,2133791.446,12.3,6.8,2,25.04,0.0,6,,,,,,,495,509,25.81,1.03,i-80
480,1885,578,1113433323400,66.166,873.179,6042787.779,2133943.202,11.9,5.8,2,27.47,0.0,6,,,,,,,474,484,37.39,1.36,i-80
491,1885,557,1113433323400,67.551,773.215,6042802.639,2133843.727,11.4,5.8,2,28.96,0.56,6,,,,,,,484,495,40.09,1.38,i-80
484,1885,565,1113433323400,64.499,813.307,6042794.314,2133883.271,13.3,7.3,2,28.0,-0.33,6,,,,,,,480,491,59.87,2.14,i-80
480,1895,578,1113433324400,66.615,898.542,6042784.517,2133968.98,11.9,5.8,2,24.92,1.79,6,,,,,,,474,484,38.33,1.54,i-80
505,1895,590,1113433324400,63.268,746.891,6042801.803,2133817.076,12.3,6.8,2,28.41,0.05,6,,,,,,,495,509,28.07,0.99,i-80
465,1895,450,1113433324400,64.965,988.996,6042769.544,2134058.183,15.3,6.9,2,30.0,0.0,6,,,,,,,458,474,107.82,3.59,i-80
474,1895,574,1113433324400,64.17,936.869,6042776.448,2134006.506,12.4,5.3,2,25.52,-0.02,6,,,,,,,465,480,52.13,2.04,i-80
484,1895,565,1113433324400,65.229,840.122,6042791.461,2133910.079,13.3,7.3,2,25.47,-2.24,6,,,,,,,480,491,58.42,2.29,i-80
491,1895,557,1113433324400,66.721,801.431,6042798.093,2133871.793,11.4,5.8,2,26.23,-3.43,6,,,,,,,484,495,38.69,1.48,i-80
516,1895,514,1113433324400,71.196,693.897,6042816.402,2133765.209,13.8,6.3,2,26.71,-0.19,6,,,,,,,509,518,32.5,1.22,i-80
518,1895,581,1113433324400,67.306,646.431,6042818.469,2133717.532,16.3,7.9,2,21.9,5.46,6,,,,,,,516,536,47.47,2.17,i-80
420,1895,769,1113433324400,67.125,1225.382,6042734.864,2134293.149,15.8,6.4,2,26.62,-7.25,6,,,,,,,409,439,254.72,9.57,i-80
439,1895,669,1113433324400,69.335,1182.229,6042744.163,2134250.686,15.8,7.4,2,28.65,0.38,6,,,,,,,420,458,43.15,1.51,i-80
458,1895,569,1113433324400,71.503,1096.814,6042759.668,2134166.092,16.8,7.4,2,35.64,-6.36,6,,,,,,,439,465,85.41,2.4,i-80
474,1905,574,1113433325400,63.628,963.851,6042771.93,2134033.126,12.4,5.3,2,28.72,-2.54,6,,,,,,,465,480,55.22,1.92,i-80
480,1905,578,1113433325400,66.214,924.959,6042780.226,2133995.032,11.9,5.8,2,28.54,-0.39,6,,,,,,,474,484,38.89,1.36,i-80
505,1905,590,1113433325400,63.368,775.104,6042798.248,2133845.051,12.3,6.8,2,25.47,-6.14,6,,,,,,,495,509,27.56,1.08,i-80
491,1905,557,1113433325400,66.562,827.885,6042794.423,2133898.005,11.4,5.8,2,28.31,2.87,6,,,,,,,484,495,40.78,1.44,i-80
518,1905,581,1113433325400,68.157,671.453,6042816.195,2133742.563,16.3,7.9,2,26.09,1.24,6,,,,,,,516,536,48.92,1.88,i-80
420,1905,769,1113433325400,67.232,1250.812,6042730.811,2134318.187,15.8,6.4,2,28.05,11.2,6,,,,,,,409,439,270.3,9.64,i-80
516,1905,514,1113433325400,70.48,720.374,6042812.378,2133791.391,13.8,6.3,2,25.33,-3.32,6,,,,,,,509,518,30.66,1.21,i-80
439,1905,669,1113433325400,69.535,1211.986,6042739.441,2134280.313,15.8,7.4,2,30.0,0.0,6,,,,,,,420,458,38.83,1.29,i-80
458,1905,569,1113433325400,71.385,1131.471,6042754.184,2134200.637,16.8,7.4,2,34.83,2.69,6,,,,,,,439,465,80.52,2.31,i-80
484,1905,565,1113433325400,65.13,868.668,6042787.377,2133938.595,13.3,7.3,2,29.95,0.36,6,,,,,,,480,491,56.29,1.88,i-80
465,1905,450,1113433325400,64.997,1019.075,6042765.127,2134088.016,15.3,6.9,2,31.24,7.13,6,,,,,,,458,474,112.4,3.6,i-80
420,1915,769,1113433326400,65.857,1281.802,6042724.423,2134348.412,15.8,6.4,2,31.13,0.27,6,,,,,,,409,439,282.14,9.06,i-80
484,1915,565,1113433326400,64.748,898.058,6042782.745,2133968.201,13.3,7.3,2,29.94,-0.7,6,,,,,,,480,491,55.88,1.87,i-80
458,1915,569,1113433326400,71.364,1166.353,6042748.694,2134235.082,16.8,7.4,2,33.42,-7.03,6,,,,,,,439,465,75.62,2.26,i-80
516,1915,514,1113433326400,70.514,745.049,6042809.228,2133816.181,13.8,6.3,2,25.0,0.0,6,,,,,,,509,518,30.88,1.24,i-80
465,1915,450,1113433326400,65.23,1053.154,6042760.129,2134121.969,15.3,6.9,2,35.64,6.31,6,,,,,,,458,474,113.2,3.18,i-80
505,1915,590,1113433326400,63.489,799.868,6042795.096,2133869.822,12.3,6.8,2,25.0,0.0,6,,,,,,,495,509,30.72,1.23,i-80
480,1915,578,1113433326400,65.503,953.943,6042775.242,2134023.627,11.9,5.8,2,30.69,-2.5,6,,,,,,,474,484,39.44,1.28,i-80
491,1915,557,1113433326400,65.568,855.937,6042789.576,2133926.041,11.4,5.8,2,28.18,0.4,6,,,,,,,484,495,42.12,1.49,i-80
518,1915,581,1113433326400,67.388,698.306,6042812.072,2133769.105,16.3,7.9,2,27.05,-0.2,6,,,,,,,516,536,46.74,1.73,i-80
474,1915,574,1113433326400,63.681,993.378,6042767.626,2134062.344,12.4,5.3,2,28.37,-7.51,6,,,,,,,465,480,59.78,2.11,i-80
439,1915,669,1113433326400,69.734,1241.976,6042734.718,2134309.94,15.8,7.4,2,30.01,0.68,6,,,,,,,420,458,39.83,1.33,i-80
465,1925,450,1113433327400,68.393,1090.547,6042757.55,2134159.424,15.3,6.9,2,37.0,-6.3,6,,,,,,,458,474,106.94,2.89,i-80
474,1925,574,1113433327400,63.72,1021.659,6042763.455,2134090.507,12.4,5.3,2,27.06,5.85,6,,,,,,,465,480,68.89,2.55,i-80
484,1925,565,1113433327400,67.832,926.635,6042781.578,2133996.933,13.3,7.3,2,28.09,1.13,6,,,,,,,480,491,57.37,2.04,i-80
